sequence,action,kind,source,target,width,height,mean,stddev
342,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/141_2025-07-09-104531_Re_Leyton_Koval_Distillery_ERTC_Question/002-image017.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_342-2025-07_image017-att.png,,,,
343,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/141_2025-07-09-104531_Re_Leyton_Koval_Distillery_ERTC_Question/003-image003.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_343-2025-07_image003-att.png,,,,
344,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/141_2025-07-09-104531_Re_Leyton_Koval_Distillery_ERTC_Question/003-image016.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_344-2025-07_image016-att.png,,,,
345,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/141_2025-07-09-104531_Re_Leyton_Koval_Distillery_ERTC_Question/004-image004.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_345-2025-07_image004-att.png,,,,
346,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/141_2025-07-09-104531_Re_Leyton_Koval_Distillery_ERTC_Question/004-image015.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_346-2025-07_image015-att.png,,,,
347,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/141_2025-07-09-104531_Re_Leyton_Koval_Distillery_ERTC_Question/005-image003.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_347-2025-07_image003-att.png,,,,
348,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/141_2025-07-09-104531_Re_Leyton_Koval_Distillery_ERTC_Question/005-image005.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_348-2025-07_image005-att.png,,,,
349,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/141_2025-07-09-104531_Re_Leyton_Koval_Distillery_ERTC_Question/006-image006.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_349-2025-07_image006-att.png,,,,
350,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/141_2025-07-09-104531_Re_Leyton_Koval_Distillery_ERTC_Question/006-image013.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_350-2025-07_image013-att.png,,,,
351,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/141_2025-07-09-104531_Re_Leyton_Koval_Distillery_ERTC_Question/007-image007.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_351-2025-07_image007-att.png,,,,
352,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/141_2025-07-09-104531_Re_Leyton_Koval_Distillery_ERTC_Question/007-image012.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_352-2025-07_image012-att.png,,,,
353,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/141_2025-07-09-104531_Re_Leyton_Koval_Distillery_ERTC_Question/008-image002.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_353-2025-07_image002-att.png,,,,
354,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/141_2025-07-09-104531_Re_Leyton_Koval_Distillery_ERTC_Question/008-image008.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_354-2025-07_image008-att.png,,,,
355,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/141_2025-07-09-104531_Re_Leyton_Koval_Distillery_ERTC_Question/image002.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_355-2025-07_image002-att.png,,,,
356,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/141_2025-07-09-104531_Re_Leyton_Koval_Distillery_ERTC_Question/image003.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_356-2025-07_image003-att.png,,,,
357,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/141_2025-07-09-104531_Re_Leyton_Koval_Distillery_ERTC_Question/image012.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_357-2025-07_image012-att.png,,,,
358,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/141_2025-07-09-104531_Re_Leyton_Koval_Distillery_ERTC_Question/image013.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_358-2025-07_image013-att.png,,,,
359,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/141_2025-07-09-104531_Re_Leyton_Koval_Distillery_ERTC_Question/image014.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_359-2025-07_image014-att.png,,,,
360,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/141_2025-07-09-104531_Re_Leyton_Koval_Distillery_ERTC_Question/image015.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_360-2025-07_image015-att.png,,,,
361,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/141_2025-07-09-104531_Re_Leyton_Koval_Distillery_ERTC_Question/image016.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_361-2025-07_image016-att.png,,,,
362,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/141_2025-07-09-104531_Re_Leyton_Koval_Distillery_ERTC_Question/image017.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_362-2025-07_image017-att.png,,,,
363,move,email,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/142_2025-07-10-145731_Re_Leyton_Koval_Distillery_ERTC_Question.pdf,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_363-2025-07_Re_Leyton_Koval_Distillery_ERTC_Question_Email.pdf,,,,
364,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/142_2025-07-10-145731_Re_Leyton_Koval_Distillery_ERTC_Question/001-image003.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_364-2025-07_image003-att.png,,,,
365,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/142_2025-07-10-145731_Re_Leyton_Koval_Distillery_ERTC_Question/001-image005.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_365-2025-07_image005-att.png,,,,
366,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/142_2025-07-10-145731_Re_Leyton_Koval_Distillery_ERTC_Question/001-image006.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_366-2025-07_image006-att.png,,,,
367,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/142_2025-07-10-145731_Re_Leyton_Koval_Distillery_ERTC_Question/002-image001.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_367-2025-07_image001-att.png,,,,
368,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/142_2025-07-10-145731_Re_Leyton_Koval_Distillery_ERTC_Question/002-image006.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_368-2025-07_image006-att.png,,,,
369,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/142_2025-07-10-145731_Re_Leyton_Koval_Distillery_ERTC_Question/002-image007.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_369-2025-07_image007-att.png,,,,
370,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/142_2025-07-10-145731_Re_Leyton_Koval_Distillery_ERTC_Question/003-image002.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_370-2025-07_image002-att.png,,,,
371,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/142_2025-07-10-145731_Re_Leyton_Koval_Distillery_ERTC_Question/003-image004.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_371-2025-07_image004-att.png,,,,
372,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/142_2025-07-10-145731_Re_Leyton_Koval_Distillery_ERTC_Question/003-image007.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_372-2025-07_image007-att.png,,,,
373,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/142_2025-07-10-145731_Re_Leyton_Koval_Distillery_ERTC_Question/004-image001.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_373-2025-07_image001-att.png,,,,
374,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/142_2025-07-10-145731_Re_Leyton_Koval_Distillery_ERTC_Question/004-image002.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_374-2025-07_image002-att.png,,,,
375,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/142_2025-07-10-145731_Re_Leyton_Koval_Distillery_ERTC_Question/005-image002.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_375-2025-07_image002-att.png,,,,
376,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/142_2025-07-10-145731_Re_Leyton_Koval_Distillery_ERTC_Question/005-image004.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_376-2025-07_image004-att.png,,,,
